=== NE Executable: game/ELFISH/ELFISH.EXE ===
Linker: 5.0
Target OS: OS/2
Flags: 0x000A (GLOBALHEAP | PROTMODE)
Entry: seg 122:0000
Stack: seg 1, SP=0x8000
Alignment shift: 4 (sector size: 16)

Segments: 231 total (121 CODE, 110 DATA)
Code size: 508,409 bytes
Relocations: 25,394 total

Imported modules: TSXLIB

Resident names (1):
  0: elfish

=== Code Segments ===
  Seg 111: 0x000152C0  size=0x0023 (    35), 5 relocs
  Seg 112: 0x00015310  size=0x20B5 (  8373), 35 relocs
  Seg 113: 0x000174F0  size=0x0028 (    40), 1 relocs
  Seg 114: 0x00017530  size=0x002A (    42), 2 relocs
  Seg 115: 0x00017570  size=0x003D (    61), 1 relocs
  Seg 116: 0x000175C0  size=0x0046 (    70)
  Seg 117: 0x00017610  size=0x004E (    78), 1 relocs
  Seg 118: 0x00017670  size=0x0067 (   103), 1 relocs
  Seg 119: 0x000176F0  size=0x0071 (   113), 4 relocs
  Seg 120: 0x00017790  size=0x007C (   124), 1 relocs
  Seg 121: 0x00017820  size=0x0081 (   129), 4 relocs
  Seg 122: 0x000178D0  size=0x0083 (   131), 5 relocs
  Seg 123: 0x00017980  size=0x0087 (   135), 2 relocs
  Seg 124: 0x00017A20  size=0x0090 (   144), 15 relocs
  Seg 125: 0x00017B30  size=0x0098 (   152), 5 relocs
  Seg 126: 0x00017C00  size=0x00A2 (   162), 4 relocs
  Seg 127: 0x00017CD0  size=0x00B0 (   176), 4 relocs
  Seg 128: 0x00017DB0  size=0x00BF (   191), 5 relocs
  Seg 129: 0x00017EA0  size=0x00C8 (   200), 3 relocs
  Seg 130: 0x00017F90  size=0x00D0 (   208), 4 relocs
  Seg 131: 0x00018090  size=0x00F1 (   241)
  Seg 132: 0x00018190  size=0x00F8 (   248), 2 relocs
  Seg 133: 0x000182A0  size=0x00FF (   255), 4 relocs
  Seg 134: 0x000183D0  size=0x0109 (   265), 1 relocs
  Seg 135: 0x000184F0  size=0x0109 (   265), 7 relocs
  Seg 136: 0x00018640  size=0x012C (   300), 6 relocs
  Seg 137: 0x000187A0  size=0x015C (   348), 7 relocs
  Seg 138: 0x00018940  size=0x0162 (   354), 9 relocs
  Seg 139: 0x00018AF0  size=0x017F (   383), 14 relocs
  Seg 140: 0x00018CF0  size=0x01C7 (   455), 17 relocs
  Seg 141: 0x00018F50  size=0x01C7 (   455), 5 relocs
  Seg 142: 0x00019150  size=0x0206 (   518), 11 relocs
  Seg 143: 0x000193C0  size=0x0220 (   544), 11 relocs
  Seg 144: 0x00019640  size=0x0234 (   564), 7 relocs
  Seg 145: 0x000198B0  size=0x026D (   621), 18 relocs
  Seg 146: 0x00019BC0  size=0x0287 (   647), 13 relocs
  Seg 147: 0x00019EC0  size=0x02BF (   703), 5 relocs
  Seg 148: 0x0001A1B0  size=0x02D7 (   727), 6 relocs
  Seg 149: 0x0001A4C0  size=0x02FF (   767), 30 relocs
  Seg 150: 0x0001A8C0  size=0x0309 (   777), 16 relocs
